FONTE,    PRODUÇÃO  ,    IMPORTAÇÃO  ,ANO
 PRODUTOS DA CANA ,25279,0,2002
 OUTRAS FONTES PRIMÁRIAS ,5157,0,2002
 ENERGIA PRIMÁRIA TOTAL ,174362,36975,2002
 ÓLEO DIESEL ,0,5418,2002
 ÓLEO COMBUSTIVEL ,0,57,2002
 GASOLINA ,0,126,2002
 GLP ,0,2049,2002
 NAFTA ,0,2486,2002
 QUEROSENE ,0,819,2002
 GÁS DE CIDADE E DE COQUERIA ,0,0,2002
 COQUE DE CARVÃO MINERAL ,0,1438,2002
 URÂNIO CONTIDO NO UO2,0,0,2002
 ELETRICIDADE,0,3146,2002
 CARVÃO VEGETAL ,0,8,2002
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,1,2002
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,1895,2002
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,424,2002
 ALCATRÃO ,0,0,2002
 ENERGIA SECUNDÁRIA TOTAL ,0,17867,2002
 TOTAL  ,174362,54841,2002
 PETRÓLEO ,66742,21570,2001
 GÁS NATURAL ,13894,4053,2001
 CARVÃO VAPOR ,2175,1862,2001
 CARVÃO METALÚRGICO ,10,7199,2001
 URÂNIO U3O8 ,669,1632,2001
 ENERGIA HIDRÁULICA ,23037,0,2001
 LENHA ,22437,0,2001
 PRODUTOS DA CANA ,22800,0,2001
 OUTRAS FONTES PRIMÁRIAS ,4705,0,2001
 ENERGIA PRIMÁRIA TOTAL ,156470,36316,2001
 ÓLEO DIESEL ,0,5587,2001
 ÓLEO COMBUSTIVEL ,0,12,2001
 GASOLINA ,0,246,2001
 GLP ,0,2349,2001
 NAFTA ,0,2532,2001
 QUEROSENE ,0,1037,2001
 GÁS DE CIDADE E DE COQUERIA ,0,0,2001
 COQUE DE CARVÃO MINERAL ,0,1116,2001
 URÂNIO CONTIDO NO UO2,0,74,2001
 ELETRICIDADE,0,3255,2001
 CARVÃO VEGETAL ,0,12,2001
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,60,2001
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2467,2001
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,234,2001
 ALCATRÃO ,0,0,2001
 ENERGIA SECUNDÁRIA TOTAL ,0,18981,2001
 TOTAL  ,156470,55297,2001
 PETRÓLEO ,63849,20537,2000
 GÁS NATURAL ,13185,1945,2000
 CARVÃO VAPOR ,2603,1917,2000
 CARVÃO METALÚRGICO ,10,7300,2000
 URÂNIO U3O8 ,132,618,2000
 ENERGIA HIDRÁULICA ,26179,0,2000
 LENHA ,23054,4,2000
 PRODUTOS DA CANA ,19895,0,2000
 OUTRAS FONTES PRIMÁRIAS ,4494,0,2000
 ENERGIA PRIMÁRIA TOTAL ,153400,32322,2000
 ÓLEO DIESEL ,0,4986,2000
 ÓLEO COMBUSTIVEL ,0,68,2000
 GASOLINA ,0,47,2000
 GLP ,0,3117,2000
 NAFTA ,0,2912,2000
 QUEROSENE ,0,742,2000
 GÁS DE CIDADE E DE COQUERIA ,0,0,2000
 COQUE DE CARVÃO MINERAL ,0,1112,2000
 URÂNIO CONTIDO NO UO2,0,0,2000
 ELETRICIDADE,0,3814,2000
 CARVÃO VEGETAL ,0,7,2000
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,33,2000
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,1940,2000
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,157,2000
 ALCATRÃO ,0,0,2000
 ENERGIA SECUNDÁRIA TOTAL ,0,18934,2000
 TOTAL  ,153400,51256,2000
 PETRÓLEO ,56612,24169,1999
 GÁS NATURAL ,11810,352,1999
 CARVÃO VAPOR ,2110,1717,1999
 CARVÃO METALÚRGICO ,19,7219,1999
 URÂNIO U3O8 ,0,6,1999
 ENERGIA HIDRÁULICA ,25198,0,1999
 LENHA ,22126,4,1999
 PRODUTOS DA CANA ,24575,0,1999
 OUTRAS FONTES PRIMÁRIAS ,4018,0,1999
 ENERGIA PRIMÁRIA TOTAL ,146469,33466,1999
 ÓLEO DIESEL ,0,4475,1999
 ÓLEO COMBUSTIVEL ,0,228,1999
 GASOLINA ,0,176,1999
 GLP ,0,3299,1999
 NAFTA ,0,2974,1999
 QUEROSENE ,0,850,1999
 GÁS DE CIDADE E DE COQUERIA ,0,0,1999
 COQUE DE CARVÃO MINERAL ,0,795,1999
 URÂNIO CONTIDO NO UO2,0,0,1999
 ELETRICIDADE,0,3437,1999
 CARVÃO VEGETAL ,0,6,1999
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,189,1999
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,1708,1999
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,238,1999
 ALCATRÃO ,0,0,1999
 ENERGIA SECUNDÁRIA TOTAL ,0,18375,1999
 TOTAL  ,146469,51841,1999
 PETRÓLEO ,50512,28505,1998
 GÁS NATURAL ,10708,0,1998
 CARVÃO VAPOR ,2067,1389,1998
 CARVÃO METALÚRGICO ,13,7745,1998
 URÂNIO U3O8 ,23,5413,1998
 ENERGIA HIDRÁULICA ,25066,0,1998
 LENHA ,21261,4,1998
 PRODUTOS DA CANA ,25155,0,1998
 OUTRAS FONTES PRIMÁRIAS ,3493,0,1998
 ENERGIA PRIMÁRIA TOTAL ,138298,43056,1998
 ÓLEO DIESEL ,0,5351,1998
 ÓLEO COMBUSTIVEL ,0,56,1998
 GASOLINA ,0,164,1998
 GLP ,0,3082,1998
 NAFTA ,0,3832,1998
 QUEROSENE ,0,829,1998
 GÁS DE CIDADE E DE COQUERIA ,0,0,1998
 COQUE DE CARVÃO MINERAL ,0,1161,1998
 URÂNIO CONTIDO NO UO2,0,0,1998
 ELETRICIDADE,0,3389,1998
 CARVÃO VEGETAL ,0,7,1998
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,83,1998
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,759,1998
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,190,1998
 ALCATRÃO ,0,0,1998
 ENERGIA SECUNDÁRIA TOTAL ,0,18904,1998
 TOTAL  ,138298,61960,1998
 PETRÓLEO ,43590,29762,1997
 GÁS NATURAL ,9752,0,1997
 CARVÃO VAPOR ,2111,1273,1997
 CARVÃO METALÚRGICO ,58,7877,1997
 URÂNIO U3O8 ,0,8385,1997
 ENERGIA HIDRÁULICA ,23992,0,1997
 LENHA ,21663,1,1997
 PRODUTOS DA CANA ,25939,0,1997
 OUTRAS FONTES PRIMÁRIAS ,3321,0,1997
 ENERGIA PRIMÁRIA TOTAL ,130425,47297,1997
 ÓLEO DIESEL ,0,5130,1997
 ÓLEO COMBUSTIVEL ,0,458,1997
 GASOLINA ,0,308,1997
 GLP ,0,2876,1997
 NAFTA ,0,3729,1997
 QUEROSENE ,0,723,1997
 GÁS DE CIDADE E DE COQUERIA ,0,0,1997
 COQUE DE CARVÃO MINERAL ,0,1178,1997
 URÂNIO CONTIDO NO UO2,0,0,1997
 ELETRICIDADE,0,3481,1997
 CARVÃO VEGETAL ,0,7,1997
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,458,1997
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,419,1997
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,212,1997
 ALCATRÃO ,0,0,1997
 ENERGIA SECUNDÁRIA TOTAL ,0,18980,1997
 TOTAL  ,130425,66277,1997
 PETRÓLEO ,40521,29407,1996
 GÁS NATURAL ,9088,0,1996
 CARVÃO VAPOR ,1792,909,1996
 CARVÃO METALÚRGICO ,85,8322,1996
 URÂNIO U3O8 ,0,1409,1996
 ENERGIA HIDRÁULICA ,22856,0,1996
 LENHA ,21969,2,1996
 PRODUTOS DA CANA ,23397,0,1996
 OUTRAS FONTES PRIMÁRIAS ,3121,0,1996
 ENERGIA PRIMÁRIA TOTAL ,122831,40050,1996
 ÓLEO DIESEL ,0,4272,1996
 ÓLEO COMBUSTIVEL ,0,1676,1996
 GASOLINA ,0,748,1996
 GLP ,0,2744,1996
 NAFTA ,0,2594,1996
 QUEROSENE ,0,578,1996
 GÁS DE CIDADE E DE COQUERIA ,0,0,1996
 COQUE DE CARVÃO MINERAL ,0,1184,1996
 URÂNIO CONTIDO NO UO2,0,0,1996
 ELETRICIDADE,0,3145,1996
 CARVÃO VEGETAL ,0,5,1996
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,673,1996
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,114,1996
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,294,1996
 ALCATRÃO ,0,0,1996
 ENERGIA SECUNDÁRIA TOTAL ,0,18027,1996
 TOTAL  ,122831,58077,1996
 PETRÓLEO ,35776,25984,1995
 GÁS NATURAL ,7896,0,1995
 CARVÃO VAPOR ,1967,475,1995
 CARVÃO METALÚRGICO ,68,8104,1995
 URÂNIO U3O8 ,0,0,1995
 ENERGIA HIDRÁULICA ,21836,0,1995
 LENHA ,23261,1,1995
 PRODUTOS DA CANA ,21778,0,1995
 OUTRAS FONTES PRIMÁRIAS ,2953,0,1995
 ENERGIA PRIMÁRIA TOTAL ,115535,34564,1995
 ÓLEO DIESEL ,0,3700,1995
 ÓLEO COMBUSTIVEL ,0,713,1995
 GASOLINA ,0,719,1995
 GLP ,0,2611,1995
 NAFTA ,0,2716,1995
 QUEROSENE ,0,536,1995
 GÁS DE CIDADE E DE COQUERIA ,0,0,1995
 COQUE DE CARVÃO MINERAL ,0,1226,1995
 URÂNIO CONTIDO NO UO2,0,0,1995
 ELETRICIDADE,0,3040,1995
 CARVÃO VEGETAL ,0,10,1995
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,1248,1995
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,0,1995
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,302,1995
 ALCATRÃO ,0,0,1995
 ENERGIA SECUNDÁRIA TOTAL ,0,16821,1995
 TOTAL  ,115535,51386,1995
 PETRÓLEO ,34446,28488,1994
 GÁS NATURAL ,7699,0,1994
 CARVÃO VAPOR ,1943,263,1994
 CARVÃO METALÚRGICO ,76,8032,1994
 URÂNIO U3O8 ,0,0,1994
 ENERGIA HIDRÁULICA ,20873,0,1994
 LENHA ,24858,0,1994
 PRODUTOS DA CANA ,22010,0,1994
 OUTRAS FONTES PRIMÁRIAS ,3031,0,1994
 ENERGIA PRIMÁRIA TOTAL ,114935,36783,1994
 ÓLEO DIESEL ,0,2845,1994
 ÓLEO COMBUSTIVEL ,0,2802,1994
 GASOLINA ,0,24,1994
 GLP ,0,1923,1994
 NAFTA ,0,2566,1994
 QUEROSENE ,0,342,1994
 GÁS DE CIDADE E DE COQUERIA ,0,0,1994
 COQUE DE CARVÃO MINERAL ,0,1021,1994
 URÂNIO CONTIDO NO UO2,0,0,1994
 ELETRICIDADE,0,2732,1994
 CARVÃO VEGETAL ,0,4,1994
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,961,1994
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,0,1994
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,106,1994
 ALCATRÃO ,0,0,1994
 ENERGIA SECUNDÁRIA TOTAL ,0,15325,1994
 TOTAL  ,114935,52108,1994
 PETRÓLEO ,33169,26201,1993
 GÁS NATURAL ,7301,0,1993
 CARVÃO VAPOR ,1784,134,1993
 CARVÃO METALÚRGICO ,37,7944,1993
 URÂNIO U3O8 ,0,0,1993
 ENERGIA HIDRÁULICA ,20216,0,1993
 LENHA ,24803,0,1993
 PRODUTOS DA CANA ,19378,0,1993
 OUTRAS FONTES PRIMÁRIAS ,3008,0,1993
 ENERGIA PRIMÁRIA TOTAL ,109695,34280,1993
 ÓLEO DIESEL ,0,3817,1993
 ÓLEO COMBUSTIVEL ,0,4970,1993
 GASOLINA ,0,0,1993
 GLP ,0,1884,1993
 NAFTA ,0,2137,1993
 QUEROSENE ,0,382,1993
 GÁS DE CIDADE E DE COQUERIA ,0,0,1993
 COQUE DE CARVÃO MINERAL ,0,799,1993
 URÂNIO CONTIDO NO UO2,0,0,1993
 ELETRICIDADE,0,2370,1993
 CARVÃO VEGETAL ,0,1,1993
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,742,1993
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,0,1993
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,49,1993
 ALCATRÃO ,0,0,1993
 ENERGIA SECUNDÁRIA TOTAL ,0,17153,1993
 TOTAL  ,109695,51433,1993
 PETRÓLEO ,32466,27322,1992
 GÁS NATURAL ,6924,0,1992
 CARVÃO VAPOR ,1794,0,1992
 CARVÃO METALÚRGICO ,81,7692,1992
 URÂNIO U3O8 ,0,0,1992
 ENERGIA HIDRÁULICA ,19207,0,1992
 LENHA ,25089,0,1992
 PRODUTOS DA CANA ,20064,0,1992
 OUTRAS FONTES PRIMÁRIAS ,2767,0,1992
 ENERGIA PRIMÁRIA TOTAL ,108394,35014,1992
 ÓLEO DIESEL ,0,1965,1992
 ÓLEO COMBUSTIVEL ,0,522,1992
 GASOLINA ,0,0,1992
 GLP ,0,1704,1992
 NAFTA ,0,1132,1992
 QUEROSENE ,0,120,1992
 GÁS DE CIDADE E DE COQUERIA ,0,0,1992
 COQUE DE CARVÃO MINERAL ,0,681,1992
 URÂNIO CONTIDO NO UO2,0,0,1992
 ELETRICIDADE,0,2066,1992
 CARVÃO VEGETAL ,0,0,1992
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,280,1992
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,0,1992
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,12,1992
 ALCATRÃO ,0,0,1992
 ENERGIA SECUNDÁRIA TOTAL ,0,8482,1992
 TOTAL  ,108394,43496,1992
 PETRÓLEO ,32117,27110,1991
 GÁS NATURAL ,6548,0,1991
 CARVÃO VAPOR ,1954,0,1991
 CARVÃO METALÚRGICO ,147,7958,1991
 URÂNIO U3O8 ,0,0,1991
 ENERGIA HIDRÁULICA ,18729,0,1991
 LENHA ,26701,0,1991
 PRODUTOS DA CANA ,20093,0,1991
 OUTRAS FONTES PRIMÁRIAS ,2423,0,1991
 ENERGIA PRIMÁRIA TOTAL ,108714,35068,1991
 ÓLEO DIESEL ,0,1586,1991
 ÓLEO COMBUSTIVEL ,0,232,1991
 GASOLINA ,0,8,1991
 GLP ,0,1699,1991
 NAFTA ,0,537,1991
 QUEROSENE ,0,122,1991
 GÁS DE CIDADE E DE COQUERIA ,0,0,1991
 COQUE DE CARVÃO MINERAL ,0,740,1991
 URÂNIO CONTIDO NO UO2,0,0,1991
 ELETRICIDADE,0,2330,1991
 CARVÃO VEGETAL ,0,0,1991
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,557,1991
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,0,1991
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,77,1991
 ALCATRÃO ,0,0,1991
 ENERGIA SECUNDÁRIA TOTAL ,0,7888,1991
 TOTAL  ,108714,42956,1991
 PETRÓLEO ,32550,29464,1990
 GÁS NATURAL ,6233,0,1990
 CARVÃO VAPOR ,1595,0,1990
 CARVÃO METALÚRGICO ,320,7505,1990
 URÂNIO U3O8 ,51,0,1990
 ENERGIA HIDRÁULICA ,17777,0,1990
 LENHA ,28537,0,1990
 PRODUTOS DA CANA ,18451,0,1990
 OUTRAS FONTES PRIMÁRIAS ,2200,0,1990
 ENERGIA PRIMÁRIA TOTAL ,107713,36969,1990
 ÓLEO DIESEL ,0,596,1990
 ÓLEO COMBUSTIVEL ,0,638,1990
 GASOLINA ,0,4,1990
 GLP ,0,1441,1990
 NAFTA ,0,188,1990
 QUEROSENE ,0,23,1990
 GÁS DE CIDADE E DE COQUERIA ,0,0,1990
 COQUE DE CARVÃO MINERAL ,0,396,1990
 URÂNIO CONTIDO NO UO2,0,0,1990
 ELETRICIDADE,0,2283,1990
 CARVÃO VEGETAL ,0,0,1990
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,600,1990
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,0,1990
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,101,1990
 ALCATRÃO ,0,0,1990
 ENERGIA SECUNDÁRIA TOTAL ,0,6270,1990
 TOTAL  ,107713,43239,1990
 PETRÓLEO ,30623,30440,1989
 GÁS NATURAL ,6060,0,1989
 CARVÃO VAPOR ,2221,0,1989
 CARVÃO METALÚRGICO ,675,7066,1989
 URÂNIO U3O8 ,355,0,1989
 ENERGIA HIDRÁULICA ,17603,0,1989
 LENHA ,32953,0,1989
 PRODUTOS DA CANA ,18480,0,1989
 OUTRAS FONTES PRIMÁRIAS ,2012,0,1989
 ENERGIA PRIMÁRIA TOTAL ,110982,37506,1989
 ÓLEO DIESEL ,0,851,1989
 ÓLEO COMBUSTIVEL ,0,1018,1989
 GASOLINA ,0,2,1989
 GLP ,0,1420,1989
 NAFTA ,0,123,1989
 QUEROSENE ,0,29,1989
 GÁS DE CIDADE E DE COQUERIA ,0,0,1989
 COQUE DE CARVÃO MINERAL ,0,863,1989
 URÂNIO CONTIDO NO UO2,0,0,1989
 ELETRICIDADE,0,2031,1989
 CARVÃO VEGETAL ,0,0,1989
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,1989
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,0,1989
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,117,1989
 ALCATRÃO ,0,0,1989
 ENERGIA SECUNDÁRIA TOTAL ,0,6454,1989
 TOTAL  ,110982,43960,1989
 PETRÓLEO ,28448,32796,1988
 GÁS NATURAL ,6005,0,1988
 CARVÃO VAPOR ,2492,0,1988
 CARVÃO METALÚRGICO ,789,6866,1988
 URÂNIO U3O8 ,183,0,1988
 ENERGIA HIDRÁULICA ,17122,0,1988
 LENHA ,32565,0,1988
 PRODUTOS DA CANA ,19032,0,1988
 OUTRAS FONTES PRIMÁRIAS ,2014,0,1988
 ENERGIA PRIMÁRIA TOTAL ,108649,39662,1988
 ÓLEO DIESEL ,0,477,1988
 ÓLEO COMBUSTIVEL ,0,1752,1988
 GASOLINA ,0,5,1988
 GLP ,0,1480,1988
 NAFTA ,0,73,1988
 QUEROSENE ,0,29,1988
 GÁS DE CIDADE E DE COQUERIA ,0,0,1988
 COQUE DE CARVÃO MINERAL ,0,586,1988
 URÂNIO CONTIDO NO UO2,0,0,1988
 ELETRICIDADE,0,1544,1988
 CARVÃO VEGETAL ,0,0,1988
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,1988
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,0,1988
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,83,1988
 ALCATRÃO ,0,0,1988
 ENERGIA SECUNDÁRIA TOTAL ,0,6028,1988
 TOTAL  ,108649,45690,1988
 PETRÓLEO ,29104,31810,1987
 GÁS NATURAL ,5738,0,1987
 CARVÃO VAPOR ,2377,0,1987
 CARVÃO METALÚRGICO ,636,7146,1987
 URÂNIO U3O8 ,1151,0,1987
 ENERGIA HIDRÁULICA ,15962,0,1987
 LENHA ,32777,0,1987
 PRODUTOS DA CANA ,20772,0,1987
 OUTRAS FONTES PRIMÁRIAS ,1871,0,1987
 ENERGIA PRIMÁRIA TOTAL ,110388,38956,1987
 ÓLEO DIESEL ,0,503,1987
 ÓLEO COMBUSTIVEL ,0,861,1987
 GASOLINA ,0,8,1987
 GLP ,0,856,1987
 NAFTA ,0,34,1987
 QUEROSENE ,0,0,1987
 GÁS DE CIDADE E DE COQUERIA ,0,0,1987
 COQUE DE CARVÃO MINERAL ,0,499,1987
 URÂNIO CONTIDO NO UO2,0,0,1987
 ELETRICIDADE,0,1446,1987
 CARVÃO VEGETAL ,0,0,1987
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,1987
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,0,1987
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,67,1987
 ALCATRÃO ,0,0,1987
 ENERGIA SECUNDÁRIA TOTAL ,0,4275,1987
 TOTAL  ,110388,43231,1987
 PETRÓLEO ,29433,30915,1986
 GÁS NATURAL ,5644,0,1986
 CARVÃO VAPOR ,2491,0,1986
 CARVÃO METALÚRGICO ,854,6245,1986
 URÂNIO U3O8 ,365,0,1986
 ENERGIA HIDRÁULICA ,15688,0,1986
 LENHA ,32766,0,1986
 PRODUTOS DA CANA ,17257,0,1986
 OUTRAS FONTES PRIMÁRIAS ,1777,0,1986
 ENERGIA PRIMÁRIA TOTAL ,106274,37160,1986
 ÓLEO DIESEL ,0,712,1986
 ÓLEO COMBUSTIVEL ,0,355,1986
 GASOLINA ,0,101,1986
 GLP ,0,672,1986
 NAFTA ,0,3,1986
 QUEROSENE ,0,38,1986
 GÁS DE CIDADE E DE COQUERIA ,0,0,1986
 COQUE DE CARVÃO MINERAL ,0,64,1986
 URÂNIO CONTIDO NO UO2,0,0,1986
 ELETRICIDADE,0,886,1986
 CARVÃO VEGETAL ,0,0,1986
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,1986
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,13,1986
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,56,1986
 ALCATRÃO ,0,0,1986
 ENERGIA SECUNDÁRIA TOTAL ,0,2899,1986
 TOTAL  ,106274,40059,1986
 PETRÓLEO ,28080,28008,1985
 GÁS NATURAL ,5427,0,1985
 CARVÃO VAPOR ,2620,0,1985
 CARVÃO METALÚRGICO ,903,5954,1985
 URÂNIO U3O8 ,1011,0,1985
 ENERGIA HIDRÁULICA ,15340,0,1985
 LENHA ,32925,0,1985
 PRODUTOS DA CANA ,19108,0,1985
 OUTRAS FONTES PRIMÁRIAS ,1589,0,1985
 ENERGIA PRIMÁRIA TOTAL ,107002,33962,1985
 ÓLEO DIESEL ,0,371,1985
 ÓLEO COMBUSTIVEL ,0,224,1985
 GASOLINA ,0,167,1985
 GLP ,0,541,1985
 NAFTA ,0,34,1985
 QUEROSENE ,0,38,1985
 GÁS DE CIDADE E DE COQUERIA ,0,0,1985
 COQUE DE CARVÃO MINERAL ,0,67,1985
 URÂNIO CONTIDO NO UO2,0,0,1985
 ELETRICIDADE,0,165,1985
 CARVÃO VEGETAL ,0,0,1985
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,1985
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,72,1985
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,138,1985
 ALCATRÃO ,0,0,1985
 ENERGIA SECUNDÁRIA TOTAL ,0,1818,1985
 TOTAL  ,107002,35779,1985
 PETRÓLEO ,23712,33387,1984
 GÁS NATURAL ,4866,0,1984
 CARVÃO VAPOR ,2657,0,1984
 CARVÃO METALÚRGICO ,836,5604,1984
 URÂNIO U3O8 ,1399,0,1984
 ENERGIA HIDRÁULICA ,14327,0,1984
 LENHA ,33340,0,1984
 PRODUTOS DA CANA ,16793,0,1984
 OUTRAS FONTES PRIMÁRIAS ,1429,0,1984
 ENERGIA PRIMÁRIA TOTAL ,99358,38991,1984
 ÓLEO DIESEL ,0,2,1984
 ÓLEO COMBUSTIVEL ,0,130,1984
 GASOLINA ,0,63,1984
 GLP ,0,276,1984
 NAFTA ,0,4,1984
 QUEROSENE ,0,0,1984
 GÁS DE CIDADE E DE COQUERIA ,0,0,1984
 COQUE DE CARVÃO MINERAL ,0,41,1984
 URÂNIO CONTIDO NO UO2,0,0,1984
 ELETRICIDADE,0,1,1984
 CARVÃO VEGETAL ,0,0,1984
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,1984
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,87,1984
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,57,1984
 ALCATRÃO ,0,0,1984
 ENERGIA SECUNDÁRIA TOTAL ,0,660,1984
 TOTAL  ,99358,39652,1984
 PETRÓLEO ,16911,37389,1983
 GÁS NATURAL ,3983,0,1983
 CARVÃO VAPOR ,2355,0,1983
 CARVÃO METALÚRGICO ,751,4038,1983
 URÂNIO U3O8 ,2312,0,1983
 ENERGIA HIDRÁULICA ,13027,0,1983
 LENHA ,30233,0,1983
 PRODUTOS DA CANA ,15455,0,1983
 OUTRAS FONTES PRIMÁRIAS ,1197,0,1983
 ENERGIA PRIMÁRIA TOTAL ,86224,41428,1983
 ÓLEO DIESEL ,0,234,1983
 ÓLEO COMBUSTIVEL ,0,400,1983
 GASOLINA ,0,67,1983
 GLP ,0,541,1983
 NAFTA ,0,4,1983
 QUEROSENE ,0,0,1983
 GÁS DE CIDADE E DE COQUERIA ,0,0,1983
 COQUE DE CARVÃO MINERAL ,0,154,1983
 URÂNIO CONTIDO NO UO2,0,0,1983
 ELETRICIDADE,0,0,1983
 CARVÃO VEGETAL ,0,0,1983
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,1983
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,10,1983
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,90,1983
 ALCATRÃO ,0,0,1983
 ENERGIA SECUNDÁRIA TOTAL ,0,1500,1983
 TOTAL  ,86224,42928,1983
 PETRÓLEO ,13338,40944,1982
 GÁS NATURAL ,3008,0,1982
 CARVÃO VAPOR ,2194,0,1982
 CARVÃO METALÚRGICO ,731,3033,1982
 URÂNIO U3O8 ,2900,0,1982
 ENERGIA HIDRÁULICA ,12137,0,1982
 LENHA ,29109,0,1982
 PRODUTOS DA CANA ,12140,0,1982
 OUTRAS FONTES PRIMÁRIAS ,1170,0,1982
 ENERGIA PRIMÁRIA TOTAL ,76726,43977,1982
 ÓLEO DIESEL ,0,207,1982
 ÓLEO COMBUSTIVEL ,0,2067,1982
 GASOLINA ,0,67,1982
 GLP ,0,853,1982
 NAFTA ,0,1,1982
 QUEROSENE ,0,0,1982
 GÁS DE CIDADE E DE COQUERIA ,0,0,1982
 COQUE DE CARVÃO MINERAL ,0,80,1982
 URÂNIO CONTIDO NO UO2,0,3481,1982
 ELETRICIDADE,0,0,1982
 CARVÃO VEGETAL ,0,0,1982
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,1982
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,287,1982
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,98,1982
 ALCATRÃO ,0,0,1982
 ENERGIA SECUNDÁRIA TOTAL ,0,7142,1982
 TOTAL  ,76726,51118,1982
 PETRÓLEO ,10928,43263,1981
 GÁS NATURAL ,2457,0,1981
 CARVÃO VAPOR ,1922,0,1981
 CARVÃO METALÚRGICO ,726,3154,1981
 URÂNIO U3O8 ,0,0,1981
 ENERGIA HIDRÁULICA ,11246,0,1981
 LENHA ,30415,0,1981
 PRODUTOS DA CANA ,10196,0,1981
 OUTRAS FONTES PRIMÁRIAS ,1094,0,1981
 ENERGIA PRIMÁRIA TOTAL ,68985,46417,1981
 ÓLEO DIESEL ,0,783,1981
 ÓLEO COMBUSTIVEL ,0,186,1981
 GASOLINA ,0,69,1981
 GLP ,0,143,1981
 NAFTA ,0,0,1981
 QUEROSENE ,0,0,1981
