FONTE,PRODUÇÃO,IMPORTAÇÃO,ANO
 OUTRAS FONTES PRIMÁRIAS ,23319.964363016614,0,2019
 ENERGIA PRIMÁRIA TOTAL ,327672.4748019462,33023.28696820442,2019
 BIODIESEL ,0,0,2019
 ÓLEO DIESEL ,0,11030.584719999999,2019
 ÓLEO COMBUSTÍVEL ,0,53.781486,2019
 GASOLINA ,0,3763.3795080000004,2019
 GLP ,0,2172.313351,2019
 NAFTA ,0,6611.005305,2019
 QUEROSENE ,0,853.03461,2019
 GÁS DE CIDADE E DE COQUERIA ,0,0,2019
 COQUE DE CARVÃO MINERAL ,0,901.66210575,2019
 URÂNIO CONTIDO NO UO2,0,3269.4432075234,2019
 ELETRICIDADE,0,2163.427321824486,2019
 CARVÃO VEGETAL ,0,0,2019
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,767.3580000000001,2019
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2134.762032,2019
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1142.083796,2019
 ALCATRÃO ,0,0,2019
 ENERGIA SECUNDÁRIA TOTAL ,0,34862.83544309788,2019
 TOTAL  ,327672.4748019462,67886.12241130229,2019
CONTA,PRODUÇÃO,IMPORTAÇÃO,2018
 PETRÓLEO ,134067.39786,9627.223815,2018
 GÁS NATURAL ,40559.83587,9324.436000000002,2018
 CARVÃO VAPOR ,1929.9345441437476,5603.181761,2018
 CARVÃO METALÚRGICO ,0,8205.12,2018
 URÂNIO U3O8 ,0,5116.378563954998,2018
 ENERGIA HIDRÁULICA ,33451.51252545541,0,2018
 LENHA ,26249.671173385654,0,2018
 PRODUTOS DA CANA ,50894.98153929997,0,2018
 OUTRAS FONTES PRIMÁRIAS ,22441.93359356921,0,2018
 ENERGIA PRIMÁRIA TOTAL ,309595.26710585394,37876.34013995499,2018
 BIODIESEL ,0,0,2018
 ÓLEO DIESEL ,0,9879.163536,2018
 ÓLEO COMBUSTÍVEL ,0,305.450475,2018
 GASOLINA ,0,2492.9900589999997,2018
 GLP ,0,2130.447631,2018
 NAFTA ,0,6101.64612,2018
 QUEROSENE ,0,736.9830059999999,2018
 GÁS DE CIDADE E DE COQUERIA ,0,0,2018
 COQUE DE CARVÃO MINERAL ,0,1268.9099999999999,2018
 URÂNIO CONTIDO NO UO2,0,1150.3103750449,2018
 ELETRICIDADE,0,3008.253513692109,2018
 CARVÃO VEGETAL ,0,0,2018
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,947.1114934200001,2018
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2198.1790688,2018
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1242.9183940000003,2018
 ALCATRÃO ,0,0,2018
 ENERGIA SECUNDÁRIA TOTAL ,0,31462.363671957013,2018
 TOTAL  ,309595.26710585394,69338.70381191201,2018
CONTA,PRODUÇÃO,IMPORTAÇÃO,2017
 PETRÓLEO ,135906.595605,7491.0176387639995,2017
