9839,LUZ FORTE CONSTRUCOES ELETRICAS LTDA,**.*73.118/0001-**, MG,PASSOS,3147907,2002-03-19T00:00:00,1710,1710,RECURSOS LIVRES - PRÓPRIOS,TJLP,5.2,3,33,REEMBOLSÁVEL,INDIRETA,BNDES FINAME,OUTROS,NÃO,AREA DE OPERACOES E CANAIS DIGITAIS,COMERCIO E SERVICOS,Eletricidade e gás,D3510000,"GERACAO, TRANSMISSAO E DISTRIBUICAO DE ENERGIA ELETRICA",INFRA-ESTRUTURA,ENERGIA ELÉTRICA,PEQUENA,PRIVADA,BANCO MERCANTIL DO BRASIL SA,17.184.037.0001-10,LIQUIDADA
9840,NOVO SUL INDUSTRIA DE ARTEFATOS DE BORRACHA LTDA,**.*04.057/0001-**, RS,NOVO HAMBURGO,4313409,2002-03-19T00:00:00,92610,92610,RECURSOS LIVRES - PRÓPRIOS,TJLP,5.0,6,18,REEMBOLSÁVEL,INDIRETA,BNDES FINAME,OUTROS,NÃO,AREA DE OPERACOES E CANAIS DIGITAIS,INDUSTRIA DE TRANSFORMAÇÃO,Borracha e plástico,C2219600,FAB DE ARTEFATOS DE BORRACHA NAO ESPECIFICADOS ANTERIORMENTE,INDUSTRIA,OUTRAS,PEQUENA,PRIVADA,BANCO BRADESCO S.A.,60.746.948.0001-12,LIQUIDADA
9841,OSNY JACINTO BERTOLDI,**.*73.563/0001-**, SC,CAMBORIU,4203204,2002-03-19T00:00:00,40000,40000,RECURSOS LIVRES - PRÓPRIOS,TJLP,6.0,3,27,REEMBOLSÁVEL,INDIRETA,BNDES FINAME,OUTROS,NÃO,AREA DE OPERACOES E CANAIS DIGITAIS,COMERCIO E SERVICOS,Transporte terrestre,H4930202,TRANSP ROD CARGA EXC PROD PERIG MUDANCA INTER-MUN-EST-NACIONAL,INFRA-ESTRUTURA,TRANSPORTE RODOVIÁRIO,MICRO,PRIVADA,ITAU UNIBANCO S.A.,60.701.190.0001-04,LIQUIDADA
9842,MINERACAO DUCAL INDUSTRIA E COMERCIO LTDA,**.*23.490/0001-**, MG,PAINS,3146503,2002-03-19T00:00:00,192500,192500,RECURSOS LIVRES - PRÓPRIOS,TJLP,4.5,6,36,REEMBOLSÁVEL,INDIRETA,BNDES FINAME,OUTROS,NÃO,AREA DE OPERACOES E CANAIS DIGITAIS,INDUSTRIA EXTRATIVA,Indústria Extrativa,B0810000,"EXTRACAO DE PEDRA, AREIA E ARGILA",INDUSTRIA,EXTRATIVA,MICRO,PRIVADA,BANCO BRADESCO S.A.,60.746.948.0001-12,LIQUIDADA
9843,LUCIMAR PRODUTOS ALIMENTICIOS LTDA,**.*53.940/0001-**, SP,JAU,3525300,2002-03-19T00:00:00,45900,45900,RECURSOS LIVRES - PRÓPRIOS,TJLP,7.5,0,48,REEMBOLSÁVEL,INDIRETA,BNDES FINAME,OUTROS,NÃO,AREA DE OPERACOES E CANAIS DIGITAIS,COMERCIO E SERVICOS,Comércio,G4711302,COM VAREJ MERC GERAL C/PREDOM PROD ALIM - SUPERMERCADOS,COMERCIO/SERVICOS,COMÉRCIO E SERVIÇOS,MICRO,PRIVADA,BANCO VOLKSWAGEN S.A.,59.109.165.0001-49,LIQUIDADA
9844,INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS FRUTAP LT,**.*58.635/0001-**, SP,BERNARDINO DE CAMPOS,3506300,2002-03-19T00:00:00,38421,38420,RECURSOS LIVRES - PRÓPRIOS,TJLP,10.0,12,24,REEMBOLSÁVEL,INDIRETA,BNDES FINAME,OUTROS,NÃO,AREA DE OPERACOES E CANAIS DIGITAIS,COMERCIO E SERVICOS,Transporte terrestre,H4930202,TRANSP ROD CARGA EXC PROD PERIG MUDANCA INTER-MUN-EST-NACIONAL,INFRA-ESTRUTURA,TRANSPORTE RODOVIÁRIO,MÉDIA,PRIVADA,BANCO BRADESCO S.A.,60.746.948.0001-12,LIQUIDADA
9845,LAYFF KOSMETIC LTDA,**.*29.170/0001-**, MG,UBERABA,3170107,2002-03-19T00:00:00,161724,161724,RECURSOS LIVRES - PRÓPRIOS,TJLP,2.9,3,33,REEMBOLSÁVEL,INDIRETA,BNDES FINAME,OUTROS,NÃO,AREA DE OPERACOES E CANAIS DIGITAIS,INDUSTRIA DE TRANSFORMAÇÃO,Química,C2063100,"FAB DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL",INDUSTRIA,QUÍMICA E PETROQUÍMICA,MÉDIA,PRIVADA,BANCO SAFRA S.A.,58.160.789.0001-28,LIQUIDADA
9846,KING MEAT ALIMENTOS DO BRASIL S/A,**.*31.562/0001-**, PR,APUCARANA,4101408,2002-03-19T00:00:00,88200,88200,RECURSOS LIVRES - PRÓPRIOS,TJLP,7.5,6,42,REEMBOLSÁVEL,INDIRETA,BNDES FINAME,OUTROS,NÃO,AREA DE OPERACOES E CANAIS DIGITAIS,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,C2862300,FAB MAQ EQ INDUSTRIA ALIMENTOS BEBIDAS E FUMO PECAS E ACESSORIOS,INDUSTRIA,MECÂNICA,GRANDE,PRIVADA,BOSTON NEGOCIOS E PARTICIPACOES LTDA.,33.140.666.0001-02,LIQUIDADA
9847,JSL S.A.,**.*48.435/0001-**, PR,PARANAGUA,4118204,2002-03-19T00:00:00,870400,870400,RECURSOS LIVRES - PRÓPRIOS,TJLP,4.0,3,27,REEMBOLSÁVEL,INDIRETA,BNDES FINAME,OUTROS,NÃO,AREA DE OPERACOES E CANAIS DIGITAIS,COMERCIO E SERVICOS,Transporte terrestre,H4930202,TRANSP ROD CARGA EXC PROD PERIG MUDANCA INTER-MUN-EST-NACIONAL,INFRA-ESTRUTURA,TRANSPORTE RODOVIÁRIO,GRANDE,PRIVADA,BANCO VOLVO (BRASIL) S.A,58.017.179.0001-70,LIQUIDADA
9848,JSL S.A.,**.*48.435/0001-**, PR,PARANAGUA,4118204,2002-03-19T00:00:00,870400,870400,RECURSOS LIVRES - PRÓPRIOS,TJLP,4.0,3,27,REEMBOLSÁVEL,INDIRETA,BNDES FINAME,OUTROS,NÃO,AREA DE OPERACOES E CANAIS DIGITAIS,COMERCIO E SERVICOS,Transporte terrestre,H4930202,TRANSP ROD CARGA EXC PROD PERIG MUDANCA INTER-MUN-EST-NACIONAL,INFRA-ESTRUTURA,TRANSPORTE RODOVIÁRIO,GRANDE,PRIVADA,BANCO VOLVO (BRASIL) S.A,58.017.179.0001-70,LIQUIDADA
9849,JSL S.A.,**.*48.435/0001-**, PR,PARANAGUA,4118204,2002-03-19T00:00:00,1305600,1305600,RECURSOS LIVRES - PRÓPRIOS,TJLP,4.0,3,27,REEMBOLSÁVEL,INDIRETA,BNDES FINAME,OUTROS,NÃO,AREA DE OPERACOES E CANAIS DIGITAIS,COMERCIO E SERVICOS,Transporte terrestre,H4930202,TRANSP ROD CARGA EXC PROD PERIG MUDANCA INTER-MUN-EST-NACIONAL,INFRA-ESTRUTURA,TRANSPORTE RODOVIÁRIO,GRANDE,PRIVADA,BANCO VOLVO (BRASIL) S.A,58.017.179.0001-70,LIQUIDADA
9850,JSL S.A.,**.*48.435/0001-**, AL,MACEIO,2704302,2002-03-19T00:00:00,1636858,1636858,RECURSOS LIVRES - PRÓPRIOS,TJLP,3.0,3,33,REEMBOLSÁVEL,INDIRETA,BNDES FINAME,OUTROS,NÃO,AREA DE OPERACOES E CANAIS DIGITAIS,COMERCIO E SERVICOS,Transporte terrestre,H4930202,TRANSP ROD CARGA EXC PROD PERIG MUDANCA INTER-MUN-EST-NACIONAL,INFRA-ESTRUTURA,TRANSPORTE RODOVIÁRIO,GRANDE,PRIVADA,BOSTON NEGOCIOS E PARTICIPACOES LTDA.,33.140.666.0001-02,LIQUIDADA
9851,IVO MAXIMO BEARZI & FILHO LTDA,**.*95.329/0001-**, SC,CAPINZAL,4203907,2002-03-19T00:00:00,42880,42880,RECURSOS LIVRES - ORGANISMOS,TJLP,5.0,12,48,REEMBOLSÁVEL,INDIRETA,BNDES AUTOMÁTICO,OUTROS,NÃO,AREA DE OPERACOES E CANAIS DIGITAIS,COMERCIO E SERVICOS,Comércio,G4729600,"COM VAREJ PD ALIM GRAL OU ESP PD ALIM NAO ESPEC ANTERIO, PD FUMO",COMERCIO/SERVICOS,COMÉRCIO E SERVIÇOS,MICRO,PRIVADA,AGENCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A. - B,82.937.293.0001-00,LIQUIDADA
9876,TERRAPLENAGEM BATTISTI LTDA,**.*12.936/0001-**, RS,VENANCIO AIRES,4322608,2002-03-19T00:00:00,53000,53000,RECURSOS LIVRES - PRÓPRIOS,TJLP,7.0,6,30,REEMBOLSÁVEL,INDIRETA,BNDES FINAME,OUTROS,NÃO,AREA DE OPERACOES E CANAIS DIGITAIS,COMERCIO E SERVICOS,Construção,F4313400,OBRAS DE TERRAPLENAGEM,COMERCIO/SERVICOS,COMÉRCIO E SERVIÇOS,MICRO,PRIVADA,BANCO CNH INDUSTRIAL CAPITAL S.A.,02.992.446.0001-75,LIQUIDADA
9852,ITACARE COMPONENTES DE MOVEIS LTDA ME,**.*63.623/0001-**, RS,BENTO GONCALVES,4302105,2002-03-19T00:00:00,9160,9160,RECURSOS LIVRES - PRÓPRIOS,TJLP,6.0,12,48,REEMBOLSÁVEL,INDIRETA,BNDES FINAME,OUTROS,NÃO,AREA DE OPERACOES E CANAIS DIGITAIS,INDUSTRIA DE TRANSFORMAÇÃO,Móveis,C3101200,FABRICACAO DE MOVEIS COM PREDOMINANCIA DE MADEIRA,INDUSTRIA,OUTRAS,MICRO,PRIVADA,BADESUL DESENVOLVIMENTO S.A. - AGENCIA DE FOMENTO/RS,02.885.855.0001-72,LIQUIDADA
9853,G J S TRANSPORTES E TERRAPLENAGEM LTDA ME,**.*69.742/0001-**, PR,COLOMBO,4105805,2002-03-19T00:00:00,77400,77400,RECURSOS LIVRES - PRÓPRIOS,TJLP,6.0,3,39,REEMBOLSÁVEL,INDIRETA,BNDES FINAME,OUTROS,NÃO,AREA DE OPERACOES E CANAIS DIGITAIS,COMERCIO E SERVICOS,Construção,F4313400,OBRAS DE TERRAPLENAGEM,COMERCIO/SERVICOS,COMÉRCIO E SERVIÇOS,PEQUENA,PRIVADA,ITAU UNIBANCO S.A.,60.701.190.0001-04,LIQUIDADA
9854,FRUTICULA PIGARI LTDA,**.*18.133/0001-**, SP,URANIA,3555802,2002-03-19T00:00:00,135900,135900,RECURSOS LIVRES - PRÓPRIOS,TJLP,4.5,6,54,REEMBOLSÁVEL,INDIRETA,BNDES FINAME,OUTROS,NÃO,AREA DE OPERACOES E CANAIS DIGITAIS,COMERCIO E SERVICOS,Comércio,G4729600,"COM VAREJ PD ALIM GRAL OU ESP PD ALIM NAO ESPEC ANTERIO, PD FUMO",COMERCIO/SERVICOS,COMÉRCIO E SERVIÇOS,MICRO,PRIVADA,BANCO BRADESCO S.A.,60.746.948.0001-12,LIQUIDADA
9855,FRS S/A AGRO AVICOLA INDUSTRIAL,**.*74.561/0001-**, RS,MONTENEGRO,4312401,2002-03-19T00:00:00,1459940,1459940,RECURSOS LIVRES - FAT,TJLP,4.5,12,48,REEMBOLSÁVEL,INDIRETA,BNDES AUTOMÁTICO,OUTROS,NÃO,AREA DE OPERACOES E CANAIS DIGITAIS,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,C1012102,ABATE DE PEQUENOS ANIMAIS,INDUSTRIA,ALIMENTO E BEBIDA,GRANDE,PRIVADA,BANCO SANTANDER (BRASIL) S.A.,90.400.888.0001-42,LIQUIDADA
9856,PAVCO PAVIMENTAÇAO E CONSTRUÇAO LTDA,**.*04.951/0001-**, BA,LAURO DE FREITAS,2919207,2002-03-19T00:00:00,158400,158400,RECURSOS LIVRES - PRÓPRIOS,TJLP,5.0,3,36,REEMBOLSÁVEL,INDIRETA,BNDES FINAME,OUTROS,NÃO,AREA DE OPERACOES E CANAIS DIGITAIS,COMERCIO E SERVICOS,Construção,F4120400,CONSTRUCAO DE EDIFICIOS,COMERCIO/SERVICOS,COMÉRCIO E SERVIÇOS,PEQUENA,PRIVADA,BANCO BRADESCO S.A.,60.746.948.0001-12,LIQUIDADA
9857,FRANCISCO FERNANDO PINTO,**.*96.779/0001-**, BA,EUNAPOLIS,2910727,2002-03-19T00:00:00,58674,58674,RECURSOS LIVRES - ORGANISMOS,TJLP,4.0,15,69,REEMBOLSÁVEL,INDIRETA,BNDES AUTOMÁTICO,OUTROS,NÃO,AREA DE OPERACOES E CANAIS DIGITAIS,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,C1622600,FAB ESTRUTURAS DE MADEIRA E ARTIGOS CARPINTARIA PARA CONSTRUCAO,INDUSTRIA,OUTRAS,MICRO,PRIVADA,BANCO DO NORDESTE DO BRASIL SA,07.237.373.0001-20,LIQUIDADA
9858,LONDON CLIP INDUSTRIAS DE EMBALAGENS LTDA,**.*37.139/0001-**, SP,ITAPECERICA DA SERRA,3522208,2002-03-19T00:00:00,560000,560000,RECURSOS LIVRES - PRÓPRIOS,TJLP,7.0,6,30,REEMBOLSÁVEL,INDIRETA,BNDES FINAME,OUTROS,NÃO,AREA DE OPERACOES E CANAIS DIGITAIS,INDUSTRIA DE TRANSFORMAÇÃO,Produto de metal,C2599300,FABRICACAO DE PRODUTOS DE METAL NAO ESPECIFICADOS ANTERIORMENTE,INDUSTRIA,METALURGIA E PRODUTOS,PEQUENA,PRIVADA,BANCO SAFRA S.A.,58.160.789.0001-28,LIQUIDADA
9859,POTY FARMACEUTICA LTDA,**.*01.275/0001-**, BA,PAULO AFONSO,2924009,2002-03-19T00:00:00,213887,213887,RECURSOS LIVRES - ORGANISMOS,TJLP,5.0,12,48,REEMBOLSÁVEL,INDIRETA,BNDES AUTOMÁTICO,OUTROS,NÃO,AREA DE OPERACOES E CANAIS DIGITAIS,COMERCIO E SERVICOS,Comércio,G4770000,COM VAREJ PROD FARMA PERFUM COSMETI E ART MEDICO OPTICO E ORTOPED,COMERCIO/SERVICOS,COMÉRCIO E SERVIÇOS,PEQUENA,PRIVADA,BANCO DO BRASIL SA,00.000.000.0001-91,LIQUIDADA
9860,TRANSPORTES SARZEDO LTDA,**.*34.441/0001-**, MG,IBIRITE,3129806,2002-03-19T00:00:00,112000,112000,RECURSOS LIVRES - PRÓPRIOS,TAXA FIXA,8.4,0,24,REEMBOLSÁVEL,INDIRETA,BNDES FINAME LEASING,OUTROS,NÃO,AREA DE OPERACOES E CANAIS DIGITAIS,COMERCIO E SERVICOS,Transporte terrestre,H4930202,TRANSP ROD CARGA EXC PROD PERIG MUDANCA INTER-MUN-EST-NACIONAL,INFRA-ESTRUTURA,TRANSPORTE RODOVIÁRIO,PEQUENA,PRIVADA,BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL,47.509.120.0001-82,LIQUIDADA
